Spot_id,Lng,Lat
B9189,121.520966,31.308001
B0010,121.451416,31.042305
B0021,121.7061,31.382221
B0052,121.599289,31.050518
B0058,121.885323,31.510674
B0081,121.207123,30.995588
B0126,121.306999,31.363344
B0127,121.326172,31.021595
B0134,121.58567,31.264067
B0162,121.396698,31.624538
B0169,121.427841,31.418652
B0172,121.342964,31.413956
B0173,121.062439,31.236588
B0175,121.424919,31.014532
B0184,121.245651,31.209253
B0185,121.646736,31.417601
B0199,121.282471,31.259344
B0209,121.195473,31.148182
B0211,121.514076,31.178074
B0212,121.068588,30.988644
B0214,121.481796,31.268236
B0226,121.313843,31.271887
B0233,121.40258,31.248016
B0235,121.510918,31.727863
B0249,121.320335,31.145554
B0261,121.207329,31.28504
B0279,121.351875,31.183525
B0284,121.538055,31.674253
B0285,121.416634,31.248095
B0289,121.403992,30.798769
B0292,121.516113,31.199368
B0300,121.281898,30.730898
B0307,121.280273,30.800983
B0333,121.494797,31.205956
B0349,121.471245,30.809891
B0363,121.532761,31.150375
B0369,121.444748,30.960827
B0383,121.298889,30.937601
B0384,121.763962,31.609695
B0395,121.248978,31.26568
B0399,121.602135,31.234814
B0425,121.386238,31.314926
B0431,121.327888,30.723106
B0433,121.399246,31.092672
B0440,121.423958,31.076363
B0443,121.327278,30.74979
B0448,121.58831,31.136086
B0452,121.503899,30.99066
B0462,121.501289,31.027279
B0469,121.725052,31.09314
B0480,121.484634,31.209864
B0491,121.552261,30.982262
B0504,121.503288,31.306198
B0509,121.359566,31.346174
B0518,121.609955,31.075283
B0530,121.092567,31.212593
B0534,121.36982,31.281881
B0538,121.63179,31.309093
B0547,121.497063,31.276186
B0588,121.437759,31.192595
B0594,121.711288,31.190958
B0595,121.48143,31.227354
B0597,121.685966,31.287525
B0598,121.188995,31.315817
B0604,121.582062,31.127558
B0636,121.410034,31.103096
B0645,121.772942,31.15036
B0648,121.148766,31.345718
B0650,121.199181,31.247793
B0660,121.323158,31.771332
B0675,121.450638,31.621536
B0678,121.241463,31.279631
B0681,121.305603,31.116808
B0692,121.331108,31.829733
B0696,121.439194,30.972855
B0699,121.265938,31.228428
B0713,121.461349,31.039011
B0714,121.786766,30.958591
B0720,121.39109,31.41432
B0723,121.848892,31.016449
B0747,121.752167,31.109596
B0751,121.691292,31.19175
B0763,121.340927,30.885916
B0764,121.122406,31.235405
B0765,121.622154,30.914236
B0782,121.445709,31.214794
B0784,121.374489,31.096302
B0788,121.578453,31.149288
B0791,121.176689,31.2693
B0800,121.37001,31.041765
B0804,121.557144,31.245096
B0821,121.538567,31.284178
B0834,121.718658,31.202723
B0838,121.238121,31.780939
B0843,121.446724,31.292845
B0850,121.563927,31.254225
B0851,121.214569,31.010689
B0852,120.993614,30.89817
B0853,121.452454,30.896669
B0860,121.347366,31.100838
B0863,121.265762,31.277405
B0865,121.452682,30.957617
B0868,121.48185,31.20487
B0869,121.525612,31.238316
B0889,121.356926,31.137663
B0902,121.470871,31.267385
B0910,121.526169,31.190737
B0916,121.599541,31.612041
B0921,121.560905,31.017374
B0933,121.506172,31.269619
B0936,121.136612,31.216745
B0947,121.914993,30.884869
B0949,121.548721,31.019123
B0955,121.247635,31.099516
B0956,121.441628,31.296312
B0962,121.233665,31.037834
B0968,121.385132,31.078577
B0986,121.383102,31.309307
B0988,121.754784,31.384993
B0998,121.303368,31.147141
B1005,121.591179,31.329931
B1006,121.173515,30.85747
B1007,121.362854,31.351171
B1015,121.485748,31.314465
B1019,121.504578,30.834429
B1022,121.509621,31.194963
B1024,121.42244,30.963682
B1046,121.53891,31.634386
B1049,121.77475,31.010799
B1051,121.212532,31.033257
B1053,121.530823,31.359936
B1079,121.748642,30.982441
B1083,121.060234,31.10741
B1093,121.10849,31.156963
B1094,121.06115,31.147856
B1111,121.395996,31.308828
B1113,121.600716,31.100086
B1115,121.396523,31.209917
B1119,121.517174,31.036613
B1129,121.557106,31.283594
B1130,121.478539,31.276936
B1143,121.708138,31.219822
B1173,121.378113,31.086075
B1179,121.458618,31.597481
B1187,121.2873,30.695353
B1200,121.779999,31.133137
B1207,121.197113,31.054916
B1210,121.114395,31.142212
B1212,121.351624,30.73761
B1213,121.387161,31.300112
B1221,121.392578,31.248322
B1236,121.521378,31.024258
B1240,121.481544,31.298351
B1261,121.650734,31.212685
B1272,121.437149,31.184256
B1284,121.896385,30.902658
B1286,121.706734,31.521463
B1290,121.45311,30.934443
B1293,121.412201,31.010191
B1296,121.220352,31.035746
B1305,121.377098,30.832869
B1314,121.736122,31.196186
B1326,121.201553,31.335127
B1330,121.692215,31.195728
B1331,121.163734,31.362513
B1339,121.504662,31.312151
B1343,121.532578,31.330002
B1351,121.289902,31.12056
B1355,121.42144,31.244577
B1359,121.389465,31.124504
B1372,121.599579,31.284863
B1375,121.364204,31.005695
B1378,121.391739,31.630783
B1385,121.187729,31.196358
B1399,121.231529,31.213623
B1406,121.796562,30.915668
B1410,121.330879,31.134521
B1416,121.063629,30.993515
B1423,121.221748,31.104694
B1437,121.208939,31.402
B1445,121.290291,31.04133
B1450,121.523407,31.2859
B1451,121.353249,30.730375
B1455,121.254578,31.199102
B1456,121.548004,31.169434
B1461,121.432907,30.933065
B1475,121.262032,31.387339
B1477,121.366707,31.207775
B1480,121.141388,31.018974
B1482,121.770927,31.193941
B1484,121.32737,30.882116
B1485,121.343765,30.731007
B1496,121.498817,31.391262
B1505,121.468842,31.306896
B1507,121.538231,31.311363
B1511,121.481804,31.104563
B1520,121.37207,31.190702
B1523,121.833138,31.071337
B1527,121.429787,31.252321
B1546,121.732758,31.139524
B1547,121.53476,31.161699
B1548,121.710121,31.059275
B1549,121.282234,31.201778
B1569,121.363457,31.285437
B1576,121.459473,31.242636
B1578,121.297142,31.203154
B1582,121.272232,31.034458
B1587,121.380295,31.192511
B1590,121.422165,31.19042
B1592,121.334671,31.156099
B1593,121.277275,31.023176
B1607,121.208008,31.033373
B1612,121.454865,31.195272
B1617,121.686852,31.037878
B1619,121.393265,31.180599
B1621,121.500511,31.047384
B1629,121.466766,31.035196
B1633,121.507927,31.106592
B1641,121.437164,31.388607
B1660,121.257256,31.355789
B1665,121.602989,31.024569
B1670,121.298836,31.284044
B1673,121.264236,31.400351
B1676,121.324394,31.40341
B1689,121.317757,31.066685
B1697,121.375,30.942471
B1699,121.571548,31.342295
B1705,121.721794,31.3864
B1707,121.264717,31.171062
B1718,121.585175,31.041412
B1725,121.500252,31.291582
B1728,121.491547,31.070351
B1738,121.523041,31.329626
B1740,121.307991,31.144117
B1742,121.368172,30.992868
B1749,121.23922,31.234142
B1757,121.254539,30.761671
B1764,121.403549,31.166189
B1766,121.07267,31.25144
B1769,121.502213,31.386322
B1777,121.403816,31.242186
B1784,121.28878,31.166248
B1788,121.537971,31.331154
B1793,120.925125,31.067646
B1820,121.283989,31.339394
B1824,121.27652,31.430916
B1833,121.850449,31.30444
B1840,121.75473,31.152979
B1847,121.397278,31.155838
B1850,121.288879,31.093418
B1851,121.387497,31.353222
B1856,121.503433,30.90229
B1858,121.795227,31.477007
B1879,121.196861,30.834023
B1882,121.480186,31.281946
B1893,121.277573,30.860415
B1894,121.407433,31.159491
B1896,121.558311,31.1021
B1920,121.488678,31.211037
B1927,121.302292,31.13283
B1935,121.343758,31.052109
B1936,121.730164,31.153786
B1945,121.334305,31.227402
B1970,121.288406,31.260586
B1975,121.555252,31.306808
B1978,121.570549,31.351131
B1979,121.268013,30.935551
B1996,121.476929,31.045055
B2003,121.266777,31.005274
