Shop_id,Lng,Lat
S001,121.16359,31.29408
S002,121.18938,31.04398
S003,121.19005,31.05261
S004,121.19011,31.04514
S005,121.19215,31.04359
S006,121.19285,31.04882
S007,121.19516,31.04743
S008,121.19567,31.05134
S009,121.19666,31.05031
S010,121.19746,31.04984
S011,121.19769,31.04961
S012,121.19771,31.04961
S013,121.19773,31.04975
S014,121.1982,31.04958
S015,121.19868,31.04957
S016,121.19943,31.04968
S017,121.19945,31.0497
S018,121.1997,31.04956
S019,121.19971,31.04985
S020,121.19988,31.05158
S021,121.19992,31.04959
S022,121.20014,31.05208
S023,121.20035,31.05107
S024,121.2004,31.04909
S025,121.20048,31.04954
S026,121.20054,31.04952
S027,121.20062,31.0497
S028,121.20064,31.05093
S029,121.20081,31.04038
S030,121.20092,31.05288
S031,121.20154,31.04963
S032,121.20169,31.05123
S033,121.20173,31.05006
S034,121.20251,31.04982
S035,121.20252,31.04941
S036,121.20262,31.04944
S037,121.20282,31.04968
S038,121.20314,31.04951
S039,121.20332,31.05003
S040,121.20335,31.04999
S041,121.20338,31.05147
S042,121.20343,31.04969
S043,121.20346,31.0494
S044,121.20355,31.0496
S045,121.20356,31.04976
S046,121.20362,31.04989
S047,121.20374,31.04933
S048,121.20429,31.0496
S049,121.20435,31.04987
S050,121.20539,31.04976
S051,121.2062,31.04975
S052,121.20716,31.04959
S053,121.20878,31.04958
S054,121.20907,31.04939
S055,121.20919,31.04942
S056,121.20926,31.04939
S057,121.20997,31.0494
S058,121.21083,31.04189
S059,121.21086,31.04107
S060,121.21514,31.04986
S061,121.21523,31.05095
S062,121.21701,31.04957
S063,121.21717,31.04955
S064,121.21726,31.04956
S065,121.2186,31.04959
S066,121.21872,31.04956
S067,121.23052,31.10895
S068,121.23077,31.10903
S069,121.23196,31.03225
S070,121.23317,31.06296
S071,121.23379,31.0591
S072,121.23628,31.10708
S073,121.23635,31.10705
S074,121.24325,31.3668
S075,121.24901,31.03322
S076,121.25605,31.01537
S077,121.26035,31.11694
S078,121.26074,31.11761
S079,121.26956,31.1143
S080,121.26988,31.11459
S081,121.30279,31.15801
S082,121.31378,31.15121
S083,121.31659,31.13394
S084,121.32357,31.2406
S085,121.33042,31.1293
S086,121.33654,30.71778
S087,121.34388,31.14317
S088,121.34431,31.14264
S089,121.34641,31.15445
S090,121.35234,31.14764
S091,121.35587,31.17649
S092,121.36386,31.21772
S093,121.36514,31.21764
S094,121.36813,31.21628
S095,121.36995,31.1917
S096,121.37197,31.30968
S097,121.37251,31.21636
S098,121.37263,31.21546
S099,121.37445,31.31413
S100,121.37456,31.10848
S101,121.37481,31.21621
S102,121.37809,31.20747
S103,121.37851,31.31437
S104,121.37935,31.3146
S105,121.3796,31.10602
S106,121.37985,31.11628
S107,121.38182,31.21566
S108,121.38197,31.09007
S109,121.38224,31.2035
S110,121.38419,31.31475
S111,121.38452,31.25031
S112,121.38525,31.31965
S113,121.38539,31.20687
S114,121.38573,31.32033
S115,121.3859,31.31587
S116,121.3864,31.31582
S117,121.38646,31.21244
S118,121.38651,31.21246
S119,121.3869,31.31509
S120,121.38695,31.31565
S121,121.387,31.31494
S122,121.38702,31.13616
S123,121.38703,31.31491
S124,121.38708,31.3151
S125,121.3872,31.11499
S126,121.3873,31.24088
S127,121.3877,31.32103
S128,121.38793,31.24056
S129,121.38929,31.31617
