Order_id,Spot_id,Site_id,Num
F0001,B0214,A001,21
F0002,B0288,A001,39
F0003,B0587,A001,55
F0004,B2027,A001,61
F0005,B2946,A001,61
F0006,B3858,A001,51
F0007,B4207,A001,56
F0008,B4713,A001,53
F0009,B5453,A001,49
F0010,B7888,A001,30
F0011,B8121,A001,58
F0012,B0005,A002,85
F0013,B0242,A002,60
F0014,B0412,A002,85
F0015,B0449,A002,41
F0016,B0729,A002,53
F0017,B0780,A002,47
F0018,B0816,A002,94
F0019,B1055,A002,23
F0020,B1160,A002,21
F0021,B1731,A002,24
F0022,B1753,A002,65
F0023,B2286,A002,38
F0024,B2323,A002,61
F0025,B2343,A002,23
F0026,B2455,A002,59
F0027,B2649,A002,45
F0028,B3069,A002,45
F0029,B3086,A002,72
F0030,B3366,A002,32
F0031,B3377,A002,35
F0032,B3387,A002,54
F0033,B3478,A002,40
F0034,B3514,A002,53
F0035,B3837,A002,56
F0036,B4140,A002,54
F0037,B4228,A002,36
F0038,B4331,A002,53
F0039,B4379,A002,23
F0040,B4428,A002,44
F0041,B4535,A002,39
F0042,B4775,A002,59
F0043,B4871,A002,38
F0044,B5191,A002,78
F0045,B5311,A002,31
F0046,B5650,A002,40
F0047,B6083,A002,56
F0048,B6308,A002,21
F0049,B6429,A002,27
F0050,B6573,A002,34
F0051,B6792,A002,20
F0052,B6824,A002,40
F0053,B6895,A002,44
F0054,B7087,A002,17
F0055,B7107,A002,30
F0056,B7245,A002,69
F0057,B7299,A002,46
F0058,B7319,A002,27
F0059,B7347,A002,38
F0060,B7377,A002,41
F0061,B7593,A002,64
F0062,B7726,A002,42
F0063,B7926,A002,18
F0064,B8262,A002,18
F0065,B8418,A002,21
F0066,B8473,A002,27
F0067,B8486,A002,65
F0068,B8542,A002,50
F0069,B8588,A002,48
F0070,B8636,A002,30
F0071,B8670,A002,34
F0072,B8739,A002,58
F0073,B8844,A002,38
F0074,B9009,A002,64
F0075,B9081,A002,39
F0076,B0225,A003,31
F0077,B0782,A003,37
F0078,B0884,A003,31
F0079,B0918,A003,48
F0080,B0957,A003,19
F0081,B1310,A003,34
F0082,B1348,A003,45
F0083,B1568,A003,63
F0084,B2503,A003,25
F0085,B2582,A003,38
F0086,B2767,A003,29
F0087,B2978,A003,67
F0088,B3914,A003,31
F0089,B4059,A003,14
F0090,B4127,A003,36
F0091,B4159,A003,24
F0092,B4800,A003,23
F0093,B4849,A003,11
F0094,B4899,A003,19
F0095,B5308,A003,51
F0096,B5594,A003,26
F0097,B5810,A003,20
F0098,B6133,A003,36
F0099,B6313,A003,31
F0100,B6832,A003,36
F0101,B7007,A003,62
F0102,B7044,A003,38
F0103,B7100,A003,46
F0104,B7397,A003,28
F0105,B7439,A003,42
F0106,B7489,A003,19
F0107,B7639,A003,77
F0108,B7671,A003,22
F0109,B7817,A003,40
F0110,B7972,A003,61
F0111,B8976,A003,35
F0112,B8980,A003,14
F0113,B8995,A003,39
F0114,B0202,A004,42
F0115,B0766,A004,15
F0116,B0878,A004,73
F0117,B0895,A004,55
F0118,B1551,A004,13
F0119,B1865,A004,48
F0120,B2041,A004,40
F0121,B2127,A004,35
F0122,B2611,A004,37
F0123,B4671,A004,10
F0124,B5362,A004,31
F0125,B5457,A004,32
F0126,B5472,A004,53
F0127,B5515,A004,11
F0128,B6375,A004,31
F0129,B6529,A004,16
F0130,B6557,A004,31
F0131,B7830,A004,44
F0132,B7909,A004,16
F0133,B8186,A004,57
F0134,B8357,A004,63
F0135,B8362,A004,21
F0136,B8814,A004,12
F0137,B0095,A005,7
F0138,B0697,A005,24
F0139,B0889,A005,52
F0140,B1039,A005,24
F0141,B1144,A005,12
F0142,B1780,A005,27
F0143,B2806,A005,61
F0144,B2882,A005,63
F0145,B2926,A005,21
F0146,B2940,A005,27
F0147,B3632,A005,37
F0148,B3817,A005,9
F0149,B3923,A005,34
F0150,B4035,A005,20
F0151,B5170,A005,14
F0152,B5252,A005,23
F0153,B6132,A005,6
F0154,B6183,A005,23
F0155,B6398,A005,27
F0156,B6542,A005,39
F0157,B6608,A005,27
F0158,B6633,A005,21
F0159,B6743,A005,21
F0160,B7374,A005,34
F0161,B7570,A005,32
F0162,B8320,A005,5
F0163,B8326,A005,16
F0164,B8791,A005,11
F0165,B9131,A005,27
F0166,B0004,A006,4
F0167,B0104,A006,28
F0168,B0181,A006,33
F0169,B0361,A006,67
F0170,B0375,A006,40
F0171,B0434,A006,30
F0172,B0524,A006,48
F0173,B0567,A006,33
F0174,B0663,A006,38
F0175,B0734,A006,23
F0176,B0875,A006,48
F0177,B1044,A006,42
F0178,B1074,A006,29
F0179,B1132,A006,11
F0180,B1247,A006,15
F0181,B1250,A006,33
F0182,B1260,A006,4
F0183,B1263,A006,13
F0184,B1281,A006,64
F0185,B1483,A006,16
F0186,B1633,A006,8
F0187,B1650,A006,25
F0188,B1683,A006,20
F0189,B1684,A006,12
F0190,B1708,A006,24
F0191,B1897,A006,72
F0192,B1999,A006,34
F0193,B2015,A006,56
F0194,B2055,A006,20
F0195,B2095,A006,19
F0196,B2125,A006,18
F0197,B2154,A006,50
F0198,B2169,A006,36
F0199,B2209,A006,15
F0200,B2374,A006,16
F0201,B2418,A006,49
F0202,B2527,A006,3
F0203,B2606,A006,28
F0204,B2612,A006,43
F0205,B2673,A006,35
F0206,B2827,A006,46
F0207,B2832,A006,19
F0208,B2893,A006,60
F0209,B3201,A006,15
F0210,B3344,A006,8
F0211,B3511,A006,8
F0212,B3520,A006,10
F0213,B3535,A006,26
F0214,B3566,A006,36
F0215,B3581,A006,23
F0216,B3585,A006,42
F0217,B3720,A006,54
F0218,B3808,A006,43
F0219,B3813,A006,41
F0220,B3833,A006,11
F0221,B3917,A006,34
F0222,B4011,A006,13
F0223,B4234,A006,19
F0224,B4240,A006,29
F0225,B4291,A006,10
F0226,B4312,A006,18
F0227,B4409,A006,20
F0228,B4485,A006,41
F0229,B4499,A006,63
F0230,B4525,A006,23
F0231,B4598,A006,9
F0232,B4633,A006,14
F0233,B4804,A006,28
F0234,B5000,A006,9
F0235,B5225,A006,41
F0236,B5288,A006,43
F0237,B5289,A006,8
F0238,B5322,A006,16
F0239,B5330,A006,39
F0240,B5373,A006,14
F0241,B5382,A006,45
F0242,B5612,A006,9
F0243,B5630,A006,9
F0244,B5725,A006,41
F0245,B5868,A006,7
F0246,B5892,A006,34
F0247,B5933,A006,34
F0248,B6367,A006,42
F0249,B6627,A006,14
F0250,B6653,A006,33
F0251,B6669,A006,15
F0252,B6686,A006,24
F0253,B6759,A006,17
F0254,B6760,A006,11
F0255,B6775,A006,18
F0256,B6812,A006,18
F0257,B6813,A006,57
F0258,B6900,A006,1
F0259,B6944,A006,36
F0260,B7179,A006,9
F0261,B7214,A006,22
F0262,B7253,A006,31
F0263,B7267,A006,8
F0264,B7331,A006,26
F0265,B7369,A006,34
F0266,B7571,A006,26
F0267,B7619,A006,45
F0268,B7663,A006,6
F0269,B7767,A006,31
F0270,B7851,A006,20
F0271,B7856,A006,17
F0272,B7866,A006,24
F0273,B8007,A006,37
F0274,B8138,A006,36
F0275,B8144,A006,30
F0276,B8174,A006,10
F0277,B8231,A006,11
F0278,B8363,A006,15
F0279,B8555,A006,17
F0280,B8610,A006,25
F0281,B8655,A006,14
F0282,B8812,A006,26
F0283,B8838,A006,9
F0284,B8902,A006,13
F0285,B8929,A006,25
F0286,B8977,A006,14
F0287,B9037,A006,10
F0288,B0056,A007,80
F0289,B0224,A007,9
F0290,B0239,A007,30
F0291,B0529,A007,12
F0292,B0638,A007,17
F0293,B0815,A007,11
F0294,B0922,A007,18
F0295,B0927,A007,31
F0296,B0943,A007,4
F0297,B1089,A007,10
F0298,B1230,A007,25
F0299,B1232,A007,10
F0300,B1362,A007,12
F0301,B1626,A007,44
F0302,B1636,A007,17
F0303,B1803,A007,32
F0304,B2117,A007,35
F0305,B2128,A007,23
F0306,B2141,A007,12
F0307,B2183,A007,48
F0308,B2420,A007,15
F0309,B2448,A007,25
F0310,B2452,A007,49
F0311,B2529,A007,15
F0312,B2679,A007,5
F0313,B2757,A007,51
F0314,B2800,A007,28
F0315,B2879,A007,13
F0316,B2993,A007,8
F0317,B3155,A007,16
F0318,B3166,A007,11
F0319,B3242,A007,30
F0320,B3465,A007,12
F0321,B3619,A007,10
F0322,B3771,A007,23
F0323,B3798,A007,15
F0324,B3868,A007,10
