Order_id,Spot_id,Shop_id,Pickup_time,Delivery_time,Num
E0001,B4596,S001,11:36,13:06,1
E0002,B2178,S002,13:12,14:42,1
E0003,B3435,S060,12:54,14:24,2
E0004,B3435,S060,15:21,16:51,2
E0005,B4587,S060,11:45,13:15,3
E0006,B4587,S060,11:46,13:16,1
E0007,B4587,S060,12:06,13:36,1
E0008,B5042,S060,14:04,15:34,2
E0009,B5042,S060,15:58,17:28,1
E0010,B5042,S060,17:24,18:54,2
E0011,B5042,S060,18:05,19:35,1
E0012,B5067,S060,17:11,18:41,1
E0013,B0523,S060,11:43,13:13,1
E0014,B0523,S060,12:12,13:42,3
E0015,B0523,S060,12:46,14:16,1
E0016,B7544,S060,14:38,16:08,1
E0017,B7798,S060,12:05,13:35,1
E0018,B7798,S060,12:49,14:19,2
E0019,B7798,S060,18:20,19:50,1
E0020,B7933,S060,14:04,15:34,1
E0021,B1499,S061,14:25,15:55,3
E0022,B1958,S061,12:01,13:31,2
E0023,B1958,S061,18:21,19:51,2
E0024,B2853,S061,18:12,19:42,4
E0025,B0318,S061,13:39,15:09,4
E0026,B3434,S061,13:08,14:38,2
E0027,B4587,S061,11:50,13:20,2
E0028,B4587,S061,12:28,13:58,3
E0029,B5042,S061,18:01,19:31,5
E0030,B5067,S061,18:27,19:57,4
E0031,B1207,S013,11:32,13:02,1
E0032,B0679,S061,13:51,15:21,2
E0033,B1499,S062,13:06,14:36,1
E0034,B1499,S062,17:27,18:57,2
E0035,B1499,S062,18:13,19:43,2
E0036,B1958,S062,12:14,13:44,3
E0037,B1958,S062,12:21,13:51,5
E0038,B1958,S062,12:31,14:01,3
E0039,B1958,S062,12:47,14:17,2
E0040,B1958,S062,13:38,15:08,1
E0041,B1207,S013,12:02,13:32,1
E0042,B1958,S062,17:49,19:19,1
E0043,B1958,S062,18:27,19:57,1
E0044,B2063,S062,14:07,15:37,3
E0045,B2739,S062,18:00,19:30,4
E0046,B0318,S062,12:45,14:15,2
E0047,B3434,S062,15:43,17:13,1
E0048,B3434,S062,18:14,19:44,1
E0049,B3435,S062,16:45,18:15,2
E0050,B7074,S062,12:45,14:15,2
E0051,B7798,S062,14:14,15:44,1
E0052,B1207,S013,13:48,15:18,1
E0053,B7798,S062,17:47,19:17,3
E0054,B7798,S062,18:27,19:57,3
E0055,B1499,S063,12:12,13:42,1
E0056,B2739,S063,14:19,15:49,1
E0057,B0523,S063,11:31,13:01,1
E0058,B1958,S064,11:35,13:05,1
E0059,B1958,S064,13:26,14:56,1
E0060,B1958,S064,18:09,19:39,1
E0061,B1958,S064,18:16,19:46,1
E0062,B3434,S064,12:52,14:22,1
E0063,B1207,S013,17:45,19:15,2
E0064,B1499,S065,11:31,13:01,1
E0065,B1499,S065,12:35,14:05,1
E0066,B1499,S065,12:58,14:28,3
E0067,B1958,S065,11:36,13:06,1
E0068,B1958,S065,12:02,13:32,3
E0069,B1958,S065,12:25,13:55,4
E0070,B1958,S065,12:51,14:21,2
E0071,B1958,S065,16:06,17:36,1
E0072,B1207,S013,18:18,19:48,1
E0073,B1958,S065,18:24,19:54,2
E0074,B2063,S065,18:00,19:30,3
E0075,B2739,S065,12:29,13:59,2
E0076,B2739,S065,13:00,14:30,2
E0077,B2853,S065,11:38,13:08,1
E0078,B3434,S065,11:47,13:17,2
E0079,B3434,S065,12:39,14:09,1
E0080,B3434,S065,13:37,15:07,2
E0081,B3435,S065,11:58,13:28,1
E0082,B3435,S065,12:10,13:40,1
E0083,B3435,S065,14:36,16:06,1
